model_alias,model_name,interface,n_items,estimate,ci_low,ci_high,ci_excludes_zero,n_groups,n_strata,confidence,estimand,chance_accuracy,ci_above_chance,model_label,mapping
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_entailment_neutral_contradiction,3012,0.7835132703553755,0.7703928624981257,0.796258809416704,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,E/N/C (extraction)
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_entailment_contradiction_neutral,3012,0.8260233918128654,0.8145149197780777,0.8376452616584197,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,E/C/N
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_neutral_entailment_contradiction,3012,0.6360023991602938,0.6228060803718699,0.648672964462438,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,N/E/C
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_neutral_contradiction_entailment,3012,0.6114484930274404,0.5983280851701904,0.6248322462138252,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,N/C/E
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_contradiction_entailment_neutral,3012,0.8000449842555105,0.7880491827860249,0.8122657070025492,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,C/E/N
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,letter_contradiction_neutral_entailment,3012,0.7961463487779276,0.7838131653921128,0.808029689608637,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Qwen,C/N/E
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_entailment_neutral_contradiction,3012,0.4666741640425851,0.4547149122807017,0.4784075573549258,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,E/N/C (extraction)
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_entailment_contradiction_neutral,3012,0.4358599490178437,0.4242015294646873,0.4476317663817664,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,E/C/N
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_neutral_entailment_contradiction,3012,0.422814514919778,0.4114185035237666,0.4339481181586445,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,N/E/C
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_neutral_contradiction_entailment,3012,0.4837681811366021,0.4720722747038536,0.49580146948568,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,N/C/E
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_contradiction_entailment_neutral,3012,0.5209176788124157,0.508358636977058,0.5340005997900735,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,C/E/N
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letter_contradiction_neutral_entailment,3012,0.5329509671614934,0.5203928624981257,0.5457714799820063,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Llama,C/N/E
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_entailment_neutral_contradiction,3012,0.445906432748538,0.4331983805668016,0.4588394062078272,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,E/N/C (extraction)
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_entailment_contradiction_neutral,3012,0.4272004798320588,0.4139676113360324,0.4403218248612985,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,E/C/N
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_neutral_entailment_contradiction,3012,0.3632853501274554,0.3509521667416404,0.3756185335132703,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,N/E/C
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_neutral_contradiction_entailment,3012,0.3616734143049933,0.3491143724696356,0.3738941370520318,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,N/C/E
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_contradiction_entailment_neutral,3012,0.4172664567401409,0.4046333783175889,0.4297121007647323,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,C/E/N
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,letter_contradiction_neutral_entailment,3012,0.4189158794421951,0.4066951566951566,0.4309116809116809,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Mistral,C/N/E
gemma2_9b_it,google/gemma-2-9b-it,letter_entailment_neutral_contradiction,3012,0.6535837456890088,0.6383256485230169,0.6688034188034188,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,E/N/C (extraction)
gemma2_9b_it,google/gemma-2-9b-it,letter_entailment_contradiction_neutral,3012,0.6424126555705503,0.6274544534412955,0.6577447893237367,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,E/C/N
gemma2_9b_it,google/gemma-2-9b-it,letter_neutral_entailment_contradiction,3012,0.6396761133603239,0.6255435597540859,0.654146048882891,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,N/E/C
gemma2_9b_it,google/gemma-2-9b-it,letter_neutral_contradiction_entailment,3012,0.646798620482831,0.6321768630979157,0.6612694931773879,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,N/C/E
gemma2_9b_it,google/gemma-2-9b-it,letter_contradiction_entailment_neutral,3012,0.6674538911381016,0.6535078347578348,0.6818488529014844,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,C/E/N
gemma2_9b_it,google/gemma-2-9b-it,letter_contradiction_neutral_entailment,3012,0.6580446843604738,0.6436487854251012,0.672065714499925,True,1482,1,0.95,equal_strata_premise_cluster_bootstrap,0.3333333333333333,True,Gemma,C/N/E
