dataset,model_alias,pair_type,mode,direction,eval_scope,n_pairs,mean_semantic_accuracy_gain,mean_semantic_prob_gain,mean_original_letter_accuracy_gain,mean_original_letter_prob_gain,mean_js_shift,prediction_changed_rate
social_chemistry_101,gemma2_9b_it,bad_vs_good,canonical_readout_residual,answer_readout_residual,cross_fold,128,0.0009765625,0.001877844585881882,0.010416666666666666,0.012329908398290464,0.0037348524978428697,0.023763020833333332
social_chemistry_101,gemma2_9b_it,bad_vs_good,canonical_readout_residual,answer_readout_residual,opaque_zero_shot,128,-0.001953125,-0.0006422761362045936,0.00634765625,0.0125740929506719,0.0032826129734117655,0.01513671875
social_chemistry_101,gemma2_9b_it,bad_vs_good,contrast_specific_semantic_balanced,contrast_specific_residual,cross_fold,128,0.001953125,0.0014964211344097994,0.00390625,0.00324178440496325,0.004962435758143999,0.0263671875
social_chemistry_101,gemma2_9b_it,bad_vs_good,contrast_specific_semantic_balanced,contrast_specific_residual,opaque_zero_shot,128,-0.00048828125,0.0013079873751848878,0.0107421875,0.008019589819014064,0.0031738411850177123,0.0263671875
social_chemistry_101,gemma2_9b_it,bad_vs_good,random_direction_control,random_control,cross_fold,128,0.0006510416666666666,-8.5441473250588e-05,0.0016276041666666667,0.0006115954990188254,0.00024999859772167145,0.0078125
social_chemistry_101,gemma2_9b_it,bad_vs_good,random_direction_control,random_control,opaque_zero_shot,128,0.0009765625,5.597388371824789e-05,0.0009765625,8.652638643979448e-05,0.00023788107825131448,0.00390625
social_chemistry_101,gemma2_9b_it,bad_vs_good,semantic_balanced,mapping_balanced_semantic,cross_fold,128,0.0029296875,0.002733884224047255,0.0,-0.0007469522145887221,0.00454156335536578,0.0263671875
social_chemistry_101,gemma2_9b_it,bad_vs_good,semantic_balanced,mapping_balanced_semantic,opaque_zero_shot,128,0.0107421875,0.007424346869811405,-0.0029296875,-0.0008749463595449953,0.002632175749512639,0.021484375
social_chemistry_101,gemma2_9b_it,bad_vs_good,shared_semantic_balanced,shared_evaluative,cross_fold,128,0.00390625,0.002549621043726794,0.0006510416666666666,-0.0009878293300668393,0.0044874265596456025,0.026692708333333332
social_chemistry_101,gemma2_9b_it,bad_vs_good,shared_semantic_balanced,shared_evaluative,opaque_zero_shot,128,0.0107421875,0.007306189974769942,-0.0029296875,-0.002129802014678718,0.002519658585781367,0.021484375
social_chemistry_101,gemma2_9b_it,bad_vs_good,wrong_semantic_direction,wrong_direction_control,cross_fold,128,-0.0006510416666666666,-0.0018455154107262625,0.0009765625,-0.0014093422020475081,0.004794692362306662,0.027669270833333332
social_chemistry_101,gemma2_9b_it,bad_vs_good,wrong_semantic_direction,wrong_direction_control,opaque_zero_shot,128,-0.005859375,-0.005672660889104001,-0.001953125,-0.0018222332000732418,0.002660576542887028,0.015625
social_chemistry_101,gemma2_9b_it,bad_vs_good,zero_direction_control,zero_direction_control,cross_fold,128,0.0,0.0,0.0,0.0,0.0,0.0
social_chemistry_101,gemma2_9b_it,bad_vs_good,zero_direction_control,zero_direction_control,opaque_zero_shot,128,0.0,0.0,0.0,0.0,0.0,0.0
social_chemistry_101,gemma2_9b_it,bad_vs_ok,canonical_readout_residual,answer_readout_residual,cross_fold,128,-0.006510416666666667,-0.0036053505415717703,0.0048828125,0.00730775521757701,0.0027973495460255735,0.015625
social_chemistry_101,gemma2_9b_it,bad_vs_ok,canonical_readout_residual,answer_readout_residual,opaque_zero_shot,128,0.00390625,0.007214535959064952,0.00439453125,0.009297009557485577,0.0031225195983665224,0.017578125
social_chemistry_101,gemma2_9b_it,bad_vs_ok,contrast_specific_semantic_balanced,contrast_specific_residual,cross_fold,128,0.013671875,0.014863118994981042,-0.0003255208333333333,-0.0002297430764883758,0.003950057614496486,0.01953125
social_chemistry_101,gemma2_9b_it,bad_vs_ok,contrast_specific_semantic_balanced,contrast_specific_residual,opaque_zero_shot,128,0.01416015625,0.01600154989864676,0.00732421875,0.003922622767277061,0.003648293886594407,0.01904296875
