metric,interface,pair_id_split__mean_adjusted_ci_high,pair_id_split__mean_adjusted_ci_low,pair_id_split__mean_adjusted_gain,pair_id_split__n_contrasts,pair_id_split__n_models,pair_id_split__n_pairs,pair_id_split__n_random_seeds,pair_id_split__standardized_detectability,group_disjoint__mean_adjusted_ci_high,group_disjoint__mean_adjusted_ci_low,group_disjoint__mean_adjusted_gain,group_disjoint__n_contrasts,group_disjoint__n_models,group_disjoint__n_pairs,group_disjoint__n_random_seeds,group_disjoint__standardized_detectability,metric_label,interface_label,adjusted_gain_difference,standardized_difference,same_adjusted_gain_sign,same_ci_excludes_zero_decision
semantic_target_margin,letter_canonical,4.697890076877472,4.621081593715482,4.659515341655868,3,4,1536,5,4.94149000606827,4.662971375216084,4.591521248672184,4.628112772303737,3,4,1536,5,4.950649151918019,Current label,T/N/E (source),-0.031402569352130705,0.00915914584974864,True,True
original_slot_margin,letter_canonical,4.697784196282607,4.621388738014244,4.659515341655868,3,4,1536,5,4.94149000606827,4.664395681050632,4.592024931617392,4.628112772303737,3,4,1536,5,4.950649151918019,Extraction ID,T/N/E (source),-0.031402569352130705,0.00915914584974864,True,True
semantic_minus_original_slot,letter_canonical,0.0,-8.673617379884035e-20,-2.8912057932946785e-20,3,4,1536,5,,0.0,-3.4694469519536144e-19,-1.1564823173178714e-19,3,4,1536,5,,Current - ID,T/N/E (source),-8.673617379884036e-20,,True,True
semantic_target_margin,letter_permutation_expected_taboo_normal,-0.3005815647642081,-0.3490396941052233,-0.325126500469115,3,4,1536,5,-1.317879464392121,-0.3038315811397561,-0.3513932567028999,-0.3275237224426947,3,4,1536,5,-1.3028969952550202,Current label,E/T/N,-0.0023972219735796663,0.014982469137100773,True,True
original_slot_margin,letter_permutation_expected_taboo_normal,3.057319463616328,3.007390182539821,3.031974100511676,3,4,1536,5,4.427921960892726,3.0298100795075555,2.979271931428359,3.004188347385369,3,4,1536,5,4.425225709111483,Extraction ID,E/T/N,-0.027785753126306822,-0.0026962517812432196,True,True
semantic_minus_original_slot,letter_permutation_expected_taboo_normal,-3.312788629846957,-3.400590869062289,-3.3571006009807918,3,4,1536,5,-3.281811503917105,-3.287709489538231,-3.3752013872285733,-3.331712069828063,3,4,1536,5,-3.309583476936586,Current - ID,E/T/N,0.025388531152728877,-0.027771973019480978,True,True
semantic_target_margin,letter_permutation_normal_expected_taboo,-0.9660226839384995,-1.022567061594584,-0.99446452910391,3,4,1536,5,-1.5864460815649,-0.9384177428163174,-0.9946099820484716,-0.9671039840982606,3,4,1536,5,-1.6091031371391138,Current label,N/E/T,0.02736054500564944,-0.022657055574213825,True,True
original_slot_margin,letter_permutation_normal_expected_taboo,3.108900690052331,3.051433204020691,3.0800508311632764,3,4,1536,5,3.9160169206910296,3.1036438680655567,3.045677637204418,3.0740965698612848,3,4,1536,5,3.914998035830154,Extraction ID,N/E/T,-0.005954261301991615,-0.0010188848608754242,True,True
semantic_minus_original_slot,letter_permutation_normal_expected_taboo,-4.022886015532486,-4.126585521771712,-4.074515360267186,3,4,1536,5,-3.0318032457676147,-3.989100671357914,-4.094224397572883,-4.041200553959546,3,4,1536,5,-3.040703776293363,Current - ID,N/E/T,0.033314806307640055,-0.008900530525748351,True,True
semantic_target_margin,letter_permutation_normal_taboo_expected,0.7154112634060182,0.6665984119560263,0.6911984711626752,3,4,1536,5,1.4106731815654687,0.582798331896774,0.5347413152143258,0.5589587428503567,3,4,1536,5,1.320445802675099,Current label,N/T/E,-0.13223972831231845,-0.0902273788903698,True,True
original_slot_margin,letter_permutation_normal_taboo_expected,3.602371161022925,3.549966749068117,3.5759989482072547,3,4,1536,5,4.8597844043060645,3.5895551814916287,3.5372464764851608,3.5629180069961066,3,4,1536,5,4.96224581262957,Extraction ID,N/T/E,-0.013080941211148112,0.10246140832350559,True,True
semantic_minus_original_slot,letter_permutation_normal_taboo_expected,-2.8454463491802096,-2.923564293232177,-2.88480047704458,3,4,1536,5,-2.856955443410595,-2.9654189281855032,-3.043890611686382,-3.00395926414575,3,4,1536,5,-3.0123002662535767,Current - ID,N/T/E,-0.11915878710117012,-0.15534482284298168,True,True
semantic_target_margin,letter_permutation_taboo_expected_normal,2.2435617787807454,2.1750323950341497,2.208901607871263,3,4,1536,5,1.3474645878677771,2.2158865247423662,2.1485277852075844,2.181641448573727,3,4,1536,5,1.3595922273155283,Current label,T/E/N,-0.027260159297536113,0.012127639447751193,True,True
original_slot_margin,letter_permutation_taboo_expected_normal,4.173872464841955,4.104398143832288,4.138672265208636,3,4,1536,5,4.531289020317663,4.16114808440299,4.092104909784394,4.127427687211376,3,4,1536,5,4.552080616767619,Extraction ID,T/E/N,-0.011244577997260308,0.020791596449956096,True,True
semantic_minus_original_slot,letter_permutation_taboo_expected_normal,-1.9008864542791468,-1.959428933837658,-1.929770657337374,3,4,1536,5,-2.4682236868667453,-1.917315276891459,-1.9752989983817355,-1.9457862386376488,3,4,1536,5,-2.5046506365957746,Current - ID,T/E/N,-0.016015581300274695,-0.03642694972902927,True,True
semantic_target_margin,letter_reversed,-0.1009699811884717,-0.1534996809123549,-0.1271468667003015,3,4,1536,5,-0.0037058259373332,0.0473299196948453,-0.0030908819901138,0.0227977971494611,3,4,1536,5,0.2243624791338646,Current label,E/N/T,0.1499446638497626,0.2280683050711978,False,False
original_slot_margin,letter_reversed,3.210653984392993,3.1591996214210263,3.1851148261740385,3,4,1536,5,4.571370646618859,3.2170605255144697,3.16548766485894,3.1906144121454822,3,4,1536,5,4.698055267135477,Extraction ID,E/N/T,0.005499585971443732,0.12668462051661855,True,True
semantic_minus_original_slot,letter_reversed,-3.265699141723001,-3.357372911729488,-3.3122616928743405,3,4,1536,5,-3.406006003437293,-3.1222300097630877,-3.213967818256028,-3.1678166149960205,3,4,1536,5,-3.375689767468241,Current - ID,E/N/T,0.14444507787831995,0.030316235969052308,True,True
