model_alias,model_name,identifier_set,metric,n_pairs,mean,ci_low,ci_high,confidence,scope
gemma2_9b_it,google/gemma-2-9b-it,letters_abc,semantic_margin_gain,1536,0.4875228647832517,0.4724953072490516,0.5025668924605405,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,letters_abc,extraction_identifier_margin_gain,1536,-0.5124049716525608,-0.5169449131245967,-0.5079231802512099,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,letters_abc,extraction_row_margin_gain,1536,-0.0879280633396572,-0.0909016151671056,-0.0850456733946447,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,letters_xyz,semantic_margin_gain,1536,1.1777031774874087,1.157252721764423,1.198063169364576,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,letters_xyz,extraction_identifier_margin_gain,1536,-0.045666202350899,-0.0504930511668876,-0.0408089956751576,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,letters_xyz,extraction_row_margin_gain,1536,-0.1292046198138484,-0.1344094175983358,-0.1240434335337744,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,numbers_123,semantic_margin_gain,1536,0.1875285997434898,0.17996706849447,0.1948567859276577,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,numbers_123,extraction_identifier_margin_gain,1536,-0.1750461199769267,-0.1779171908067332,-0.1722086837032327,0.95,competence_gated
gemma2_9b_it,google/gemma-2-9b-it,numbers_123,extraction_row_margin_gain,1536,-0.0229329108088104,-0.0246409012349667,-0.0212155207439705,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_abc,semantic_margin_gain,1536,0.1490211979382568,0.1401153947537144,0.1580837669471899,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_abc,extraction_identifier_margin_gain,1536,-0.0680555945469273,-0.0721599155623052,-0.0638979755238526,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_abc,extraction_row_margin_gain,1536,0.0930464429159959,0.09108046559203,0.095057345709453,0.95,competence_gated
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,letters_xyz,semantic_margin_gain,1536,0.3961500823497772,0.3845076393336057,0.4078725667463408,0.95,competence_gated
